"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"NALENG","",NA,NA,"LegacyPollen 1.0",267,100181,"Naleng Co",31.113,99.755,4200,"Asia","Lake","Raw",191,"Zhou et al. (2022)",16,185,22715,118.6,22530,NA,"2010","Kramer, A., Herzschuh, U., Mischke, S. and Zhang, C., 2010. Holocene treeline shifts and monsoon variability in the Hengduan Mountains (southeastern Tibetan Plateau), implications from palynological investigations. Palaeogeography, Palaeoclimatology, Palaeoecology, 286(1-2), pp.23-41.","https://doi.org/10.1016/j.palaeo.2009.12.001","Kramer, A., Herzschuh, U., Mischke, S. and Zhang, C., 2010. Late glacial vegetation and climate oscillations on the southeastern Tibetan Plateau inferred from the Lake Naleng pollen profile. Quaternary Research, 73(2), pp.324-335.","https://doi.org/10.1016/j.yqres.2009.12.003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAYEMA","",NA,NA,"LegacyPollen 1.0",270,100182,"Shayema Lake",28.583,102.217,2400,"Asia","Lake","Digitized",91,"Zhou et al. (2022)",5,-38,13169,146.7,13207,NA,"1993","Jarvis, D.I., 1993. Pollen evidence of changing Holocene monsoon climate in Sichuan Province, China. Quaternary Research, 39(3), pp.325-337.","https://doi.org/10.1006/qres.1993.1039","Tang, L.Y. and Shen, C.M., 1996. Holocene pollen records of The Qinghai-Xizang Plateau. Acta Micropalaeontologica Sinica, 13(4), pp.407-422 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIDUN","",NA,NA,"LegacyPollen 1.0",274,100183,"Yidun Lake",30.298,99.552,4470,"Asia","Lake","Digitized",35,"Zhou et al. (2022)",5,92,19721,577.3,19629,NA,"2006","Shen, C.M., Liu, K.B., Tang, L.Y. and Overpeck, J.T., 2006. Quantitative relationships between modern pollen rain and climate in the Tibetan Plateau. Review of Palaeobotany and Palynology, 140(1-2), pp.61-77.","https://doi.org/10.1016/j.revpalbo.2006.03.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZOIGEDC","",NA,NA,"LegacyPollen 1.0",268,100184,"Zoige DC",33.905,102.545,3396,"Asia","Peat","Raw",55,"Zhou et al. (2022)",3,2822,20694,331,17872,NA,"1995","Liu, G.X., Shen, Y.P. and Wang, S.M., 1995. The vegetation and climate of Holocene megathermal in Zoige, northwestern Sichuan. China. Journal of Galciology and Geocryology, 17(3), pp.247-249 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZOIGERH","",NA,NA,"LegacyPollen 1.0",269,100185,"Zoige RH",33.95,103.35,3400,"Asia","Peat","Digitized",20,"Zhou et al. (2022)",4,705,10239,501.8,9534,NA,"1996","Tang, L.Y. and Shen, C.M., 1996. Holocene pollen records of The Qinghai-Xizang Plateau. Acta Micropalaeontologica Sinica, 13(4), pp.407-422 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHITSAI","",NA,NA,"LegacyPollen 1.0",275,100186,"Chitsai Lake",23.753,121.236,2890,"Asia","Peat","Raw",134,"Zhou et al. (2022)",4,283,6187,44.4,5904,NA,"1994","Liew, P.M. and Huang, S.Y., 1994. A 5000-year pollen record from Chitsai Lake, central Taiwan. Terrestrial, Atmospheric and Oceanic Sciences, 5(3), pp.411-419.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ILAN","",NA,NA,"LegacyPollen 1.0",281,100187,"Ilan",24.75,121.733,410,"Asia","Alluvial/Fluvial","Raw",36,"Zhou et al. (2022)",4,924,3403,70.8,2479,NA,"2004","Lin, S.F., Liu, P.M. and Lai, T.H., 2004. Late Holocene pollen sequence of the Ilan Plain, northeastern Taiwan, and its environmental and climatic implications. Terrestrial Atmospheric and Oceanic Sciences, 15(2), pp.221-238.","https://doi.org/10.3319/TAO.2004.15.2.221(T)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUNMOON","",NA,NA,"LegacyPollen 1.0",277,100188,"Sun-Moon Lake",23.867,120.917,746,"Asia","Lake","Raw",117,"Zhou et al. (2022)",2,241,12246,103.5,12005,NA,"1996","Lou, W.C., 1996. Pollen analysis of lacustrine sediments in Sun-Moon Lake Basin since the last glacial maximum. Master thesis. National Taiwan University, Taipei, Taiwan, China.",NA,"Tsukada, M., 1967. Vegetation in subtropical Formosa during the Pleistocene glaciations and the Holocene. Palaeogeography, Palaeoclimatology, Palaeoecology, 3, pp.49-64.","https://doi.org/10.1016/0031-0182(67)90005-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOUSHE","",NA,NA,"LegacyPollen 1.0",278,100189,"Toushe Lake",23.82,120.9,650,"Asia","Peat","Raw",133,"Zhou et al. (2022)",21,1704,19541,135.1,17837,NA,"1994","Liew, P.M., Kuo, C.M., Huang, S.Y. and Tseng, M.H., 1998. Vegetation change and terrestrial carbon storage in eastern Asia during the Last Glacial Maximum as indicated by a new pollen record from central Taiwan. Global and Planetary Change, 16, pp.85-94.","https://doi.org/10.1016/S0921-8181(98)00014-9","Liew, P.M., Lee, C.Y. and Kuo, C.M., 2006. Holocene thermal optimal and climate variability of East Asian monsoon inferred from forest reconstruction of a subalpine pollen sequence, Taiwan. Earth and Planetary Science Letters, 250(3-4), pp.596-605.","https://doi.org/10.1016/j.epsl.2006.08.002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARKOLBLK6E","",NA,NA,"LegacyPollen 1.0",318,100190,"Barkol Lake BLK06E",43.617,92.8,1575,"Asia","Lake","Digitized",97,"Zhou et al. (2022)",10,-55,15272,159.7,15327,NA,"2009","Tao, S.C., An, C.B., Chen, F.H., Tang, L.Y., Lv, Y.B. and Zheng, T.M., 2009. Holocene vegetation changes interpreted from pollen records in Balikun Lake, Xinjiang, China. Acta Palaeontologica Sinica, 48(2), pp.194-199 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEILIKEK","",NA,NA,"LegacyPollen 1.0",319,100191,"Beilikekule Lake",36.667,89,4680,"Asia","Lake","Raw",12,"Zhou et al. (2022)",2,3805,15506,1063.7,11701,NA,"1996","Huang, C.X., Van Campo, E. and Li, S.K., 1996. Holocene environmental changes of western and northern Qinghai-Xizang Plateau based on pollen analysis. Acta Micropalaeontologica Sinica, 13(4), pp.423-432 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosten","",NA,NA,"LegacyPollen 1.0",320,100192,"Bosten Lake",42,87.02,1050,"Asia","Lake","Digitized",31,"Zhou et al. (2022)",5,358,15569,507,15211,NA,"1998","Xu, Y.Q., 1998. The assemblage of Holocene spore pollen and its environment in Bosten Lake area, Xinjiang. Arid Land Geogr, 2, pp.43-49 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAOTAN2002","",NA,NA,"LegacyPollen 1.0",322,100193,"Caotanhu 2002",44.418,86.024,380,"Asia","Peat","Raw",58,"Zhou et al. (2022)",5,120,8741,151.2,8621,NA,"2008","Zhang, Y., Kong, Z., Ni, J., Yan, S. and Yang, Z., 2008. Pollen record and environmental evolution of Caotanhu wetland in Xinjiang since 4550 cal. a BP. Chinese Science Bulletin, 53(7), pp.1049-1061 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHAIWOCKF","",NA,NA,"LegacyPollen 1.0",323,100194,"Chaiwopu CKF",43.5,87.9,1100,"Asia","Lake","Raw",12,"Zhou et al. (2022)",2,375,11555,1016.4,11180,NA,"1990","Li, W.Y. and Yan, S., 1990. Quaternary spore and pollen research in Chaiwopu Basin. In: The Quaternary climo-environment changes and hydrogeological condition of Chaiwopu Basin in Xinjiang region (pp.46-74). China Ocean Press, Beijing.",NA,"Wen, Q.Z. and Qiao, Y.L., 1990. Preliminary probe of climatic sequence in the last 13 000 years in Xinjiang Region. Quaternary Sciences, 4, pp.363-371 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAMAGOU","",NA,NA,"LegacyPollen 1.0",324,100196,"Damagou",37,80.7,1380,"Asia","Alluvial/Fluvial","Raw",18,"Zhou et al. (2022)",6,623,16240,918.6,15617,NA,"1994","Lin, M.C., 1994. Spore-pollen analysis of Quaternary in Xinjiang Region. Quaternary Geology and Environment of Xinjinag Region. In: Quaternary Geology and Environment of Xinjinag Region, China (pp.68-94). China. Agricultural Press of China, Beijing.",NA,"Wen, Q.Z. and Qiao, Y.L., 1990. Preliminary probe of climatic sequence in the last 13 000 years in Xinjiang Region. Quaternary Sciences, 4, pp.363-371 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAXIGOU","",NA,NA,"LegacyPollen 1.0",326,100197,"Daxigou",43.117,86.85,3450,"Asia","Alluvial/Fluvial","Raw",52,"Zhou et al. (2022)",2,169,4006,75.2,3837,NA,"2004","Zhang, Y., Kong, Z.C., Yang, Z.J., Yan, S. and Ni, J. 2004. Vegetation changes and environmental evolution in the Urumqi River Head, central Tianshan Mountains since 3.6 ka B.P.: a case study of Daxigou profile. Journal of Integrative Plant Biology, 46(6), pp.655-667 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DONGDAO","",NA,NA,"LegacyPollen 1.0",327,100198,"Dongdaohaizi Lake B",44.697,89.56,430,"Asia","Lake","Raw",64,"Zhou et al. (2022)",9,431,5093,74,4662,NA,"2004","Yan, S., Li, S.F., Kong, Z.C., Yang, Z.J. and Ni, J., 2004. The pollen analyses and environment changes of the Dongdaohaizi area in Urumqi, Xinjiang. Quaternary Sciences, 24(4), pp.463-468 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EBINUR","",NA,NA,"LegacyPollen 1.0",315,100199,"Ebinur Lake",44.88,82.94,212,"Asia","Lake","Raw",14,"Zhou et al. (2022)",7,968,13141,936.4,12173,NA,"1994","Lin, M.C., 1994. Spore-pollen analysis of Quaternary in Xinjiang Region. Quaternary Geology and Environment of Xinjinag Region. In: Quaternary Geology and Environment of Xinjinag Region, China (pp.68-94). China. Agricultural Press of China, Beijing.",NA,"Wen, Q.Z. and Qiao, Y.L., 1990. Preliminary probe of climatic sequence in the last 13 000 years in Xinjiang Region. Quaternary Sciences, 4, pp.363-371 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EBINURSW","",NA,NA,"LegacyPollen 1.0",314,100200,"Ebinur Lake-SW",45,82.8,212,"Asia","Lake","Raw",9,"Zhou et al. (2022)",6,1614,7099,685.6,5485,NA,"1994","Lin, M.C., 1994. Spore-pollen analysis of Quaternary in Xinjiang Region. Quaternary Geology and Environment of Xinjinag Region. In: Quaternary Geology and Environment of Xinjinag Region, China (pp.68-94). Agricultural Press of China, Beijing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUASHUWO","",NA,NA,"LegacyPollen 1.0",328,100201,"Huashuwozi",43.801,89.133,1320,"Asia","Alluvial/Fluvial","Raw",52,"Zhou et al. (2022)",3,155,2205,40.2,2050,NA,"2006","Zhang, Y., Kong, Z., Yan, S., Yang, Z. and Ni, J., 2006. Fluctuation of Picea timber-line and paleo-environment on the northern slope of Tianshan Mountains during the late Holocene. Chinese Science Bulletin, 51(14), pp.1747-1756 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOPNURK1","",NA,NA,"LegacyPollen 1.0",331,100202,"Lop Nur K1",40.283,90.25,790,"Asia","Lake","Raw",14,"Zhou et al. (2022)",4,9429,30379,1611.5,20950,NA,"1998","Yan, S., Mu, G.J., Xu, Y.Q. and Zhao, Z.H., 1998. Quaternary environmental evolution of the Lop Nur region, China. Acta geographica sinica, 53(4), pp.332-339 (in Chinese).",NA,"Yan, S., Mu, G.J. and Xu, Y.Q., 2000. Quaternary environmental evolution of the Lop Nur region, NW China. Acta Micropalaeontologica Sinica, 17(2), pp.165-169 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOPNURLUO4","",NA,NA,"LegacyPollen 1.0",333,100203,"Lop Nur Luo4",40.333,90.25,800,"Asia","Lake","Raw",16,"Zhou et al. (2022)",3,1612,24751,1542.6,23139,NA,"1983","Yan, F.H., Ye, Y.Y. and Mai, X.S., 1983. The sporo-pollen assemblage in the Luo 4 drilling of Lop Lake in Xinjiang and its significance. Seismology and Geology, 5(4), pp.75-80 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANASLM1","",NA,NA,"LegacyPollen 1.0",334,100204,"Manas Lake LM-1",45.833,85.917,251,"Asia","Lake","Raw",60,"Zhou et al. (2022)",7,53,15097,255,15044,NA,"1994","Sun, X.J., Du, N.Q., Weng, C.Y., Lin, R.F. and Wei, K.Q., 1994. Paleovegetation and paleoenvironment of Manasi Lake, Xinjiang, NW China during the last 14000 years. Quaternary Sciences, 3, pp.239-248 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NIYA","",NA,NA,"LegacyPollen 1.0",336,100205,"Niya River",37.733,82.767,1373,"Asia","Peat","Raw",22,"Zhou et al. (2022)",4,363,3235,136.8,2872,NA,"2001","Shu, Q. 2001. Study on the Changes of Historic Paleoclimate and Paleoenvironment and Man-Land Relationship of Southern Xinjiang. Master thesis. Xinjiang University, Urumqi, Xinjiang, China.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SICHANG","",NA,NA,"LegacyPollen 1.0",338,100206,"Sichanghu Lake",44.31,89.143,589,"Asia","Lake","Raw",19,"Zhou et al. (2022)",2,89,1100,56.2,1011,NA,"2003","Yan, S., Kong, Z.C. and Yang, Z.J., 2003. Pollen analysis and its significance of the Sichanghu section in Jimusaer county Xinj iang. Acta Botanica Boreali-Occidentalia Sinica, 23(4), pp.531-536 (in Chinese).",NA,"Zhang, Y., Kong, Z.C., Yan, S., Yang, Z.J. and Ni, J., 2004. ""Medieval Warm Period"" in Xinjiang: Rediscussion on paleoenvironment of the Sichanghu Profile in Gurbantunggut Desert. Quaternary Sciences, 24(6), pp.701-708 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAGLE","",NA,NA,"LegacyPollen 1.0",339,100207,"Tagle",37.033,80.767,1368,"Asia","Lake","Raw",20,"Zhou et al. (2022)",5,52,958,47.7,906,NA,"1998","Zhong, W., Xiong, H.G., Teyibai, T. and Li, Q., 1998. Preliminary study on spore-pollen combination and paleoenvironmental features of the Holocene lacustrine sediment of Bosten Lake. The Water Resources, Environment and Management of Tarim River Watershed, pp.160-164 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIANSHUISI2","",NA,NA,"LegacyPollen 1.0",340,100208,"Tianshuihai SI2",35.35,79.517,4836,"Asia","Lake","Raw",11,"Zhou et al. (2022)",3,19667,24639,497.2,4972,NA,"1991","Li, S.J., Zheng, B.X. and Jiao, K.Q., 1991. Preliminary research on lacustrine deposit and lake evolution on the south slope of the west Kunlun Mountains. Scientia Geographica Sinica, 11(4), pp.306-314 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIANSHUITS95","",NA,NA,"LegacyPollen 1.0",341,100209,"Tianshuihai TS95",35.35,79.517,4900,"Asia","Lake","Raw",36,"Zhou et al. (2022)",9,21206,49772,816.2,28566,NA,"1998","Liu, G.X., Wang, R., Li, S.J., Li, B.Y. and Zhu, Z.Y. 1998. Palynological evidence of ecological environment change since 240 ka BP for the Tianshuihai Lake,West Kunlun Mountains. Journal of Glaciology and Geocryology, 20(1), pp.21-24 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WULUNGU2004","",NA,NA,"LegacyPollen 1.0",344,100210,"Wulungu Lake WLG-2004",47.217,87.3,479,"Asia","Lake","Raw",110,"Zhou et al. (2022)",7,-6,8512,78.1,8518,NA,"2008","Liu, X.Q., Herzschuh, U., Shen, J., Jiang, Q.F. and Xiao, X.Y., 2008. Holocene environmental and climatic changes inferred from Wulungu Lake in northern Xinjiang, China. Quaternary Research, 70(3), pp.412-425.","https://doi.org/10.1016/j.yqres.2008.06.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XIAOSHA","",NA,NA,"LegacyPollen 1.0",346,100213,"Xiaoshazi Lake",36.783,90.833,4106,"Asia","Lake","Raw",7,"Zhou et al. (2022)",2,8253,11091,473,2838,NA,"1996","Huang, C.X., Van Campo, E. and Li, S.K., 1996. Holocene environmental changes of western and northern Qinghai-Xizang Plateau based on pollen analysis. Acta Micropalaeontologica Sinica, 13(4), pp.423-432 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XIAOXI","",NA,NA,"LegacyPollen 1.0",347,100214,"Xiaoxigou",43.8,89.122,1360,"Asia","Alluvial/Fluvial","Raw",38,"Zhou et al. (2022)",3,-17,5450,147.8,5467,NA,"2006","Zhang, Y., Kong, Z., Yan, S., Yang, Z. and Ni, J., 2006. Fluctuation of Picea timber-line and paleo-environment on the northern slope of Tianshan Mountains during the late Holocene. Chinese Science Bulletin, 51(14), pp.1747-1756 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YUETE2","",NA,NA,"LegacyPollen 1.0",350,100215,"Yuetegan 2",37.15,79.917,1277,"Asia","Alluvial/Fluvial","Raw",29,"Zhou et al. (2022)",5,21,2736,97,2715,NA,"2003","Wang, L.G., 2003. Study on climatic and environmental changes during the past 4.0 ka in the southern margin of Tarim Basin, southern Xinjiang. Master thesis. Xinjiang University, Urumqi, Xinjiang, China.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANGONG","",NA,NA,"LegacyPollen 1.0",285,100217,"Bangong Co Lake",33.72,78.81,4241,"Asia","Lake","Raw",40,"Zhou et al. (2022)",11,0,11247,288.4,11247,NA,"1988","Huang, C.X., Zhang, Q.S. and Liu, F.T., 1989. A preliminary study of paleovegetation and paleoclimate in the later period of late Pleistocene in Bangongcuo Lake region of Xizang. Journal of Natural Researches, 4(3), pp.247-253 (in Chinese).",NA,"Fontes, J.C., Gasse, F. and Gibert, E., 1996. Holocene environmental changes in Lake Bangong basin (Western Tibet). Part 1: Chronology and stable isotopes of carbonates of a Holocene lacustrine core. Palaeogeography, Palaeoclimatology, Palaeoecology, 120(1-2), pp.25-47.","https://doi.org/10.1016/0031-0182(95)00032-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIDDENHL1","",NA,NA,"LegacyPollen 1.0",290,100218,"Hidden Lake HL1",29.813,92.54,4980,"Asia","Lake","Digitized",28,"Zhou et al. (2022)",4,-39,14134,524.9,14173,NA,"1999","Tang, L.Y., Shen, C.M., Liu, K.B., Overpeck, J.T. and Yu, S.Y., 2000. Climatic and hydrological changes in the southeastern Qinghai-Tibetan Plateau during the past 18 000 years. Acta Micropalaeontologica Sinica, 17(2), pp.113-124 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NGION","",NA,NA,"LegacyPollen 1.0",296,100219,"Ngion Co",30.467,91.5,4515,"Asia","Lake","Digitized",56,"Zhou et al. (2022)",10,10,6012,109.1,6002,NA,"2008","Shen, C., Liu, K.B., Morrill, C., Overpeck, J.T., Peng, J. and Tang, L., 2008. Ecotone shift and major droughts during the mid-late Holocene in the central Tibetan Plateau. Ecology, 89(4), pp.1079-1088.","https://doi.org/10.1890/06-2016.1","Shen, C., 2003. Millennial-scale variations and centennial-scale events in the southwest Asian monsoon: pollen evidence from Tibet. Doctoral dissertation. Louisiana State University and Agricultural and Mechanical College, Baton Rouge, Louisiana, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEIKU","",NA,NA,"LegacyPollen 1.0",303,100220,"Peiku Co",28.91,85.61,4590,"Asia","Lake","Raw",98,"Zhou et al. (2022)",6,5936,14068,83.8,8132,NA,"2000","Huang, F., 2000. Vegetation and climate between 13ka to 5ka BP in Peiku CO, Tibet. Acta Palaeontologica Sinica, 39(3), pp.441-448 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QONGJI","",NA,NA,"LegacyPollen 1.0",289,100221,"Co Qongjiamong",29.813,92.373,4980,"Asia","Lake","Digitized",73,"Zhou et al. (2022)",11,552,13986,186.6,13434,NA,"2003","Shen, C., 2003. Millennial-scale variations and centennial-scale events in the southwest Asian monsoon: pollen evidence from Tibet. Doctoral dissertation. Louisiana State University and Agricultural and Mechanical College, Baton Rouge, Louisiana, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RENR1","",NA,NA,"LegacyPollen 1.0",304,100222,"Ren Co R1",30.733,96.683,4450,"Asia","Lake","Digitized",39,"Zhou et al. (2022)",7,466,20883,537.3,20417,NA,"1999","Tang, L.Y., Shen, C.M., Liu, K.B. and Overpeck, J.T., 1999. New high-resolution pollen records from two lakes in Xizang (Tibet). Acta Botanica Sinica, 41(8), pp.896-902 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SELINCK8803","",NA,NA,"LegacyPollen 1.0",305,100223,"Selin Co CK8803",31.81,88.97,4530,"Asia","Lake","Raw",45,"Zhou et al. (2022)",5,581,11449,247,10868,NA,"1993","Sun, X.J., Dunaiqiu., Chen, Y.S., Gu, Z.Y., Liu, J.Q., Yuan, B.Y., 1993. Holocene palynological records in lake Selincuo, northern Xizang. Acta Botanica Sinica, 35(12), pp.943-950 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASONG","",NA,NA,"LegacyPollen 1.0",273,100224,"Wasong",32.991,103.052,3490,"Asia","Lake","Digitized",45,"Zhou et al. (2022)",10,4603,26505,497.8,21902,NA,"1999","Yan, G., Wang, F.B., Shi, G.R. and Li, S.F., 1999. Palynological and stable isotopic study of palaeoenvironmental changes on the northeastern Tibetan plateau in the last 30,000 years. Palaeogeography, Palaeoclimatology, Palaeoecology, 153(1-4), pp.147-159.","https://doi.org/10.1016/S0031-0182(99)00064-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WUMAQU","",NA,NA,"LegacyPollen 1.0",307,100225,"Wumaqu",30.533,91.383,4370,"Asia","Peat","Raw",19,"Zhou et al. (2022)",3,2230,12018,543.8,9788,NA,"1988","Wang, P.F., Xia, Y.M. and Wang, M.H., 1988. An approach to the spore-pollen assemblages of paet in the Holocene and the evolution of natural environment in southern Xizang. In: Study of Mire in China (pp. 257-265). Science Press, Beijing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XUGUO","",NA,NA,"LegacyPollen 1.0",308,100226,"Xuguo Co",31.95,90.333,4595,"Asia","Lake","Digitized",51,"Zhou et al. (2022)",4,80,9314,184.7,9234,NA,"2003","Shen, C., 2003. Millennial-scale variations and centennial-scale events in the southwest Asian monsoon: pollen evidence from Tibet. Doctoral dissertation. Louisiana State University and Agricultural and Mechanical College, Baton Rouge, Louisiana, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YANGHU","",NA,NA,"LegacyPollen 1.0",309,100227,"Yanghu Lake",35.433,84.65,4778,"Asia","Lake","Raw",18,"Zhou et al. (2022)",2,828,12890,709.5,12062,NA,"2007","Zhao, Z.M., Liu, A.M., Peng, W., Ji, W.H., Li, R.S., Wang, Y.Z. and Zhu, Y.T., 2007. Holocene environmental changes of northern Qinghai-Tibetan Plateau based on spore-pollen analysis. Arid Land Geography, 30, pp.381-391 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZABUZK2","",NA,NA,"LegacyPollen 1.0",310,100228,"Zabuye Lake ZK2",31.46,84.05,4421,"Asia","Lake","Digitized",13,"Zhou et al. (2022)",5,5843,19295,1121,13452,NA,"1996","Wu, Y.S. and Xiao, J.Y., 1996. A pollen record during the past 30000 years from the Zabuye Lake, T ibet. M arine Geology& Q uaternary Geology, 16(3), pp.115-122 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGETANG","",NA,NA,"LegacyPollen 1.0",311,100229,"Zigetang Co",32,90.9,4560,"Asia","Lake","Raw",67,"Zhou et al. (2022)",5,179,10653,158.7,10474,NA,"2006","Herzschuh, U., Winter, K., Wunnemann, B. and Li, S., 2006. A general cooling trend on the central Tibetan Plateau throughout the Holocene recorded by the Lake Zigetang pollen spectra. Quaternary International, 154, pp.113-121.","https://doi.org/10.1016/j.quaint.2006.02.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERHAIES","",NA,NA,"LegacyPollen 1.0",352,100230,"Erhai Lake ES",25.855,100.171,1974,"Asia","Lake","Digitized",67,"Zhou et al. (2022)",7,-44,12753,193.9,12797,NA,"2003","Zhou, J., Wang, S.M. and Lv, J., 2003. Climatic and environmental changes from the sediment record of Erhai Lake over the past 10000 years. Journal of Lake Sciences, 15(2), pp.104-111 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GANLAN","",NA,NA,"LegacyPollen 1.0",353,100231,"Ganlanba",22.483,100.6,500,"Asia","Peat","Digitized",23,"Zhou et al. (2022)",2,416,7372,316.2,6956,NA,"1998","Xu, Q.H., Yang, X.L., Wang, Z.H., Li, W.Y., Sanpu, X. and Shichuan, S., 1998. Pollen analysis on a peat section at Ganlan Basin, Xishuangbanna, Yunnan Province. Yunnan Geographic Environment Research, 10(2), pp. 34-42 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANXING","",NA,NA,"LegacyPollen 1.0",357,100232,"Manxing Lake",21.95,100.483,1200,"Asia","Lake","Raw",11,"Zhou et al. (2022)",7,1306,17406,1610,16100,NA,"1992","Tang, L.Y., 1992. Vegetation and climate history at Menghai, Yunnan during the past 42,000 years. Acta Micropalaeontologica Sinica, 9(4), pp.433-455 (in Chinese).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
